trial,seed,status,episode_jsonl,steps,n_targets_active_final,success_all_targets_neutralized,stderr
0,123,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192104\episode.jsonl,599,2,0,
1,124,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192106\episode.jsonl,599,4,0,
2,125,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192107\episode.jsonl,599,3,0,
3,126,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192108\episode.jsonl,599,2,0,
4,127,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192109\episode.jsonl,599,3,0,
5,128,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192110\episode.jsonl,599,1,0,
6,129,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192111\episode.jsonl,599,2,0,
7,130,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192113\episode.jsonl,599,3,0,
8,131,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192114\episode.jsonl,599,2,0,
9,132,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192115\episode.jsonl,599,1,0,
10,133,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192116\episode.jsonl,599,2,0,
11,134,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192117\episode.jsonl,599,1,0,
12,135,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192118\episode.jsonl,599,1,0,
13,136,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192119\episode.jsonl,599,2,0,
14,137,ok,C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\runs\episode_20260113_192121\episode.jsonl,599,1,0,
